Name, Popularity, MonthlyListeners, Followers
Sepultura, 62, 967052, 1185007
Angra, 57, 333162, 297706
Matanza, 56, 233562, 271433
Oficina G3, 55, 267079, 528684
Armored Dawn, 54, 271175, 13609
Malta, 50, 237581, 238200
Nervosa, 46, 84862, 54388
Shaman, 45, 120624, 87751
Gloria, 44, 65091, 77533
Far From Alaska, 42, 109888, 77191
Ratos De Porão, 42, 46623, 59796
Massacration, 41, 65654, 74416
Ego Kill Talent, 40, 63812, 35209
Semblant, 38, 55362, 33462
Project46, 38, 25007, 37361
BrokenRail, 38, 57129, 9866
Krisiun, 35, 27535, 74727
Dr. Sin, 35, 29599, 25272
Viper, 34, 28722, 27092
Almah, 33, 15707, 38241
Andre Matos, 33, 13935, 41934
Tuatha de Danann, 32, 14963, 26047
Violator, 32, 19240, 62170
Ponto Nulo no Céu, 31, 11460, 24722
Hangar, 31, 9968, 18074
Mindflow, 30, 18117, 13538
Kiara Rocks, 30, 22322, 8774
John Wayne, 29, 7264, 10272
Worst, 29, 7640, 14726
Hibria, 28, 12023, 19736
Torture Squad, 27, 8206, 19126
Korzus, 26, 7509, 17694
Soulspell, 26, 9604, 10060
Golpe De Estado, 25, 6974, 12559
Claustrofobia, 25, 6631, 11189
Oitão, 22, 4256, 9151
Insane Driver, 21, 7174, 2710
Noturnall, 20, 4035, 9504
Black Pantera, 20, 5179, 4504
Mattilha, 18, 2736, 6320
Lyria, 18, 2425, 8105
Eutenia, 17, 1972, 3712
Attomica, 17, 3135, 12618
Dark Avenger, 17, 1604, 5946
Sioux 66, 16, 2803, 3006
Hatefulmurder, 16, 1919, 4531
Armahda, 14, 1164, 3862
Rygel, 14, 3942, 1118
Carro Bomba, 14, 1162, 3256
NervoChaos, 14, 918, 4616
StormSons, 14, 834, 1928
Age Of Artemis, 13, 1144, 4122
Laboratori, 13, 1925, 1407
Maestrick, 13, 567, 2280
Ancesttral, 12, 878, 2563
Shadowside, 12, 793, 5043
Salario Mínimo, 12, 1033, 2812
Baranga, 12, 732, 3076
Vivalma, 11, 1910, 503
Final Disaster, 11, 944, 339
Venomous, 10, 1076, 979
Jackdevil, 10, 935, 4310
Genocidio, 10, 384, 1786
Reckoning Hour, 9, 664, 1758
Republica, 9, 1356, 2464
Válvera, 8, 706, 897
Woslom, 8, 538, 3048
Voodoopriest, 8, 586, 2786
King of Bones, 8, 314, 1036
Furia Inc., 8, 363, 1451
Trayce, 8, 699, 1856
Inherence, 8, 415, 1378
MX, 8, 564, 3353
Acid Tree, 7, 808, 639
Sinaya, 7, 583, 1848
Tamuya Thrash Tribe, 7, 766, 1024
Hatematter, 6, 158, 733
King Bird, 5, 217, 837
Distraught, 5, 367, 978
REMOVE SILENCE, 5, 113, 501
About 2 Crash, 4, 169, 778
Aneurose, 4, 352, 350
Trezzy, 4, 227, 839
Ego Absence, 4, 148, 348
Attractha, 3, 427, 422
Hevilan, 3, 198, 478
Perc3ption, 3, 133, 832
Painside, 3, 182, 781
Heaviest, 2, 107, 429
Hellarise, 1, 77, 254
NoWay, 1, 38, 163
Lifetime Code, 1, 33, 77
Kamboja, 0, 26, 150
Circo de Fantoches, 0, 16, 163
Allegro, 0, 19, 161
