Name, Popularity, MonthlyListeners, Followers
Sepultura, 60, 938575, 1153700
Angra, 55, 326270, 290799
Matanza, 54, 238051, 266173
Oficina G3, 54, 291127, 509750
Malta, 49, 225316, 232900
Armored Dawn, 46, 262218, 34844
Shaman, 43, 116407, 85266
Gloria, 42, 65675, 76430
Far From Alaska, 41, 115388, 76467
Ratos De Porão, 41, 48814, 58093
Ego Kill Talent, 40, 79470, 34517
Massacration, 40, 67478, 72773
Semblant, 37, 59354, 32067
Project46, 37, 25290, 36498
BrokenRail, 37, 61317, 9553
Nervosa, 36, 48182, 49699
Krisiun, 33, 27669, 72366
Viper, 33, 30187, 26225
Dr. Sin, 32, 21258, 24552
Andre Matos, 32, 14884, 40731
Almah, 31, 14939, 37297
Violator, 31, 19486, 60380
Ponto Nulo no Céu, 29, 12193, 24374
Tuatha de Danann, 29, 12464, 25299
Hangar, 29, 9761, 17516
Kiara Rocks, 29, 21828, 8606
Mindflow, 28, 17509, 13265
Worst, 28, 7646, 14374
Lyria, 27, 9223, 7956
Hibria, 26, 10785, 19301
Torture Squad, 26, 8907, 18492
Soulspell, 26, 17167, 9700
Korzus, 24, 7253, 17235
Golpe De Estado, 24, 6631, 11825
Claustrofobia, 24, 6730, 10784
John Wayne, 22, 3916, 9831
Insane Driver, 21, 11572, 2470
Black Pantera, 20, 9658, 4281
Oitão, 20, 4229, 8876
Noturnall, 19, 4063, 9360
Mattilha, 17, 3376, 6289
Sioux 66, 16, 3329, 2960
Eutenia, 16, 2020, 3605
Attomica, 16, 3278, 12164
Dark Avenger, 16, 1431, 5752
Hatefulmurder, 15, 1959, 4352
Laboratori, 14, 2022, 1374
Carro Bomba, 14, 1461, 3158
Age Of Artemis, 13, 1313, 4031
Armahda, 12, 1179, 3797
Salario Mínimo, 12, 958, 2693
Rygel, 12, 2975, 795
Baranga, 12, 794, 2945
NervoChaos, 12, 941, 4501
Ancesttral, 11, 852, 2514
Maestrick, 11, 594, 2193
StormSons, 11, 654, 1870
Shadowside, 10, 819, 4930
Vivalma, 9, 1859, 491
Jackdevil, 9, 874, 4229
Reckoning Hour, 9, 705, 1728
Republica, 9, 1449, 2452
Válvera, 8, 660, 826
Voodoopriest, 8, 870, 2729
King of Bones, 8, 315, 994
Furia Inc., 8, 494, 1420
Final Disaster, 8, 817, 294
Venomous, 8, 1000, 943
Woslom, 7, 549, 3008
Trayce, 7, 695, 1823
Inherence, 7, 439, 1324
MX, 7, 503, 3121
King Bird, 6, 239, 815
Genocidio, 6, 321, 1704
Sinaya, 6, 509, 1779
Tamuya Thrash Tribe, 6, 792, 1014
Acid Tree, 5, 760, 631
Trezzy, 5, 210, 823
About 2 Crash, 4, 173, 768
Distraught, 4, 321, 957
Ego Absence, 4, 176, 306
Attractha, 3, 364, 418
Hatematter, 3, 160, 712
Aneurose, 3, 299, 333
Painside, 3, 197, 770
Hevilan, 2, 109, 455
Perc3ption, 2, 139, 801
REMOVE SILENCE, 2, 92, 488
Heaviest, 1, 101, 420
Hellarise, 1, 70, 252
Lifetime Code, 1, 32, 74
NoWay, 0, 37, 160
Kamboja, 0, 27, 149
Circo de Fantoches, 0, 13, 162
Allegro, 0, 37, 151
